Corrected,Corrected,Corrected,Corrected,Corrected,Corrected
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
50287315.106275231,56978235.032087483,50259226.806193389,189422694.67830288,213127712.61150664,194054484.33241847
0.0,0.0,0.0,2066134.1764664121,0.0,0.0
956242.6282126368,1454879.9954910066,922149.50318767363,11817408.679068485,14940256.765386473,12895996.636662025
16409024.79645575,16866335.400113106,15415216.657405941,257287000.57423472,327540640.22183579,306433999.22131306
0.0,0.0,83277.453413466705,0.0,809360.29862504406,1830099.2307730576
933246.62238908117,1188033.398758193,1129486.4576920196,6384659.6552734366,8356964.4206996001,7307709.0848839637
432485.18063081102,83430.214084823383,130414.87233787187,679645.56960967823,0.0,0.0
0.0,93684.908667981057,11032.320885810981,1228405.1432246659,164810.97130805292,817809.98012962868
0,0,0,0,0.0,0.0
0,0,0,0,0,0.0
0,0,0,0,0,0
358096.17660120985,294511.87458681414,375422.37328160496,0,0,0
253841.64522980689,317929.53624320496,13718.883476047406,0,0,0
1083234.1634087374,1034427.4861987607,1053128.845004516,0,0,0
256735.17641743924,233442.37874792021,483099.15111629281,0,0,0
1393282.5937664073,1550872.7799128294,1318028.6384142628,0,0,0
228228.76054764699,42838.74988469325,240090.8753520746,0,0,0
2069190.1432291158,2167760.9192585386,1927252.8577066706,1916827.1415510196,2876645.4537309017,2680472.0388660873
221647.2407134847,363037.55040668492,305865.06217736134,833329.24879064865,534579.9726363105,359851.82217194553
1062084.2079367719,896774.0177761137,616844.5098352296,0,0.0,0.0
0.0,0.0,39949.115418850211,0,0,0.0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
174029.70169695705,259466.73402832539,172555.78612304348,0,0,0
0,0,0,0,0,0
256710.53178033125,360125.22281084716,356293.66170436831,0,0,0
42735.628667833917,144165.77316604229,108909.91535251449,0,0,41631.414073870961
243006.73042727838,223205.23347130168,66895.869317938967,0,0,0
3199.3642254839592,7743.0838846503266,86662.515220269939,0,0,0
239055.42670822667,266996.12204753235,290268.15664533456,0,0,0
0.0,19377.763734592121,34217.100284684384,0,0,0
119868.06435918555,101098.59628726113,114962.36317242436,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
36586153.822930947,41460056.851606674,37228044.359602399,93966117.288076013,111470932.42992535,100744834.99318972
0.0,0.0,0.0,2327013.9379664827,0.0,0.0
1629367.4652197461,1784082.6731705342,1702901.827535098,3845962.2758427388,3736925.7983038151,2100817.3303910564
9681844.6518301144,9435906.5414934792,8967834.6981155314,147558806.89206633,196861671.72713944,188626640.14332229
0.0,0.0,0.0,0.0,0.0,0.0
555844.82495838986,527096.19585490471,399231.17110689601,3826425.4782309639,4052760.0844566962,4059712.8625883036
157615.44565477083,0.0,114626.135257235,667656.35986886814,492906.11691227549,511639.47470964806
0.0,0.0,0,15809.866663645753,394088.40167502942,0.0
0,0,0,416018.8868012632,162539.3420847778,303084.90542154765
0,0,0,0.0,0.0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
706260.62327113817,751808.36161242402,677132.10539900279,0,0,0
53943.753408494202,34489.319947356227,65520.11688838894,0,0,0
914104.06698045251,922020.60704906937,951956.68325303681,0,0,0
0.0,127805.50158770526,73112.21002161644,0,0,0
1024538.5151766473,932209.87618081504,962461.04988097853,114458.96814862099,77842.900344595982,334712.16105112981
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
262258302.14443797,239347096.93476886,176063156.0053632,696375622.26147628,568883909.38131452,471451334.00611979
0.0,0.0,0.0,0.0,0.0,0.0
3719978.7495383783,4176918.0478303614,2079060.2594791118,14783264.651606563,7120736.2383254711,531832.48097384791
27306883.581165437,27206552.321931679,27518881.351468083,497939392.44811821,584251397.85716307,547067349.22365272
310936.59817784419,1017374.3951326697,227899.94303485897,4838969.9530234784,0.0,728262.9296937912
5790747.1266769944,5929628.728686125,5194737.6667437563,12625416.419701543,14225181.185970457,14163840.962332124
294332.51177652081,181734.77931130797,194702.27305224063,181154.31525786672,164601.72623629103,0.0
142271.64819640602,243735.14068178495,426474.42944032676,3265113.2170389164,1731058.4196090132,1553803.5477147859
0,0,0,0.0,0.0,0.0
0,0,0,0.0,0.0,0.0
0,0,0,0,0.0,0.0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
1016762.0928258129,1516613.2711829441,1179090.21858307,0,0,0
3065235.2728180401,3300526.2124107862,2720185.2228760743,90933.732683770344,0,0
814406.58881288418,1136042.5439301718,1245829.9774965276,0,0,0
4626174.2399578858,4720318.3805299187,4127929.5985835022,0,178693.99809914641,0
672412.55889380979,717318.69816277234,868323.16873333429,0,0.0,0
2751030.4629844804,3091215.6610745308,2988046.8180826604,0,0,0
159776.00803466182,268333.44599395129,173966.87706218747,0,0,0
896533.18743507424,1166505.9044871067,1045504.2612937029,0,0,0
0.0,0.0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
1068318.2251228117,1591752.2731139255,1213989.2084115187,0,0,0
765061.4840516292,549037.32267684746,566261.53721299721,0,0,0
1101635.8461230297,2050563.6412645029,1312798.4052261924,0,0,0
798054.28056997724,1032250.3503692293,743277.99491051596,0,0,0
1307425.1280577898,952197.74589655153,1509805.2559919434,0,0,0
70788.168449678895,82953.757019892611,0.0,0,0,0
382609.11255151546,699342.42617432878,438553.07061586517,0,0,0
255718.00648927959,198697.3719063233,367124.83768503612,0,0,0
611730.43744708039,870335.82430263306,403526.75177370349,0,0,0
0.0,16144.176266731016,77237.168879608973,0,0,0
229259.80478263396,297626.62494203716,9018.0695222995637,0,0,0
108849.09977836764,162635.40461795335,140472.14037825301,0,17885.775658774448,8959.1119372391804
116636.9912578825,363296.92405186594,282687.80652741564,0,0,0
106195.72486868073,226461.89468122899,302892.20113825495,0,0,8732.9913204329223
340725.35217216221,649918.48904135136,426204.30905319011,0,0,0
109235.82874807298,117586.15433812013,275807.01227177883,0,0,0
330148.24939846806,390136.35371840687,447258.95701723214,0,0,0
107781.26761610807,279377.80871635134,202378.96620014057,0,0,0
348135.00057061034,469305.6601131729,616052.37387155229,0,0,0
176527.48470246774,171919.40290144284,201073.82271963794,0,0,0
177087.78144696564,301323.41284902877,319299.90866280778,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
198602746.76678476,211484746.61414757,195865136.16276911,1098133207.0498519,1253116219.1172321,1113371774.9154258
2500208.919934608,810402.08975616912,2466633.6435770853,13150453.46371704,0.0,0.0
